"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"5120",1,NA,0,157,"153G",153,9,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,150,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,45,NA,0,NA,74,141.412,NA,NA,NA,NA,NA,NA,NA,NA,"R","","G","E","","E","",NA,1,277,23
"5121",1,2,0,159,"154H",154,50,0,63,35,11,0,0,0,-55,160,5,NA,160,3,3,NA,NA,NA,0,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,63,160,NA,74,328.149,NA,NA,NA,NA,NA,NA,NA,NA,"L","R","H","E","W","W","N",1,1,289,23
"5122",1,NA,0,153,"154H",154,58,0,0,7,9,16,24,11,49,155,12,NA,155,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,74,328.149,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","W","",1,2,267,23
"5123",2,1,0,150,"155B",155,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"T","T",NA,NA,NA,NA,1,NA,1,NA,NA,51,31,998,998,74,8.754,NA,NA,NA,NA,NA,NA,NA,NA,"P","9","B","R","9","W","O",1,1,272,23
"5124",1,NA,0,153,"156K",156,64,0,15,24,31,46,52,31,25,160,10,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,290,NA,74,8.868,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",1,1,245,23
"5125",1,NA,0,150,"157D",157,9,0,3,2,0,0,0,1,63,150,1,NA,150,9,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,30,NA,74,32.103,NA,NA,NA,NA,NA,NA,NA,NA,"R","","D","E","","E","",0,1,272,23
"5126",1,NA,0,160,"157D",157,197,0,3,3,4,4,7,11,130,117,10,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,300,NA,74,32.103,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",0,2,285,23
"5127",1,NA,0,167,"158G",158,103,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,2,NA,NA,NA,NA,NA,0,0,1,1,"L","",NA,NA,NA,NA,1,7,1,1,NA,2,NA,290,NA,74,399.932,NA,NA,NA,NA,NA,NA,NA,NA,"P","","G","E","","W","",0,1,295,23
"5128",1,4,0,153,"159A",159,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,90,12,998,5,NA,NA,NA,NA,0,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,42,310,350,74,8.754,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","A","E","9","W","9",1,1,281,23
"5129",1,2,0,160,"159A",159,114,1,69,62,61,52,46,29,0,145,12,12,145,3,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,51,10,0,74,8.754,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","A","E","9","W","9",1,2,286,23
