"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"12786",25,"Both vehicles were eastbound.  V1 was in front of V2.  The front of V2 impacted",74,88,"E",1," 88E"
"12787",25,"the rear of V1.",74,88,"E",2," 88E"
"12788",25,"V1 was eastbound on an undivided roadway.  V2 was eastbound behind V1.  The",74,89,"C",1," 89C"
"12789",25,"front of V2 struck the back of V1.",74,89,"C",2," 89C"
"12790",25,"V1 was eastbound on a divided trafficway entrance ramp.  V1 traveled off the",74,90,"K",1," 90K"
"12791",25,"left side of the roadway and down an embankment.  The front of V1 struck a",74,90,"K",2," 90K"
"12792",25,"concrete culvert, a small sign post and a small tree.",74,90,"K",3," 90K"
"12793",25,"Vehicle one was northbound approaching an intersection.  Vehicle two was",74,91,"K",1," 91K"
"12794",25,"westbound approaching the same intersection.  The front of V2 impacted the right",74,91,"K",2," 91K"
"12795",25,"of V1 within the intersection.  The right of V1 then impacted the left of V2.",74,91,"K",3," 91K"
"12796",25,"V1 was eastbound, approaching an intersection.  V2 was northbound, stopped at",74,92,"K",1," 92K"
"12797",25,"the same intersection.  V1 traveled to the right and the front struck the left",74,92,"K",2," 92K"
"12798",25,"side of V2.",74,92,"K",3," 92K"
"12799",25,"Vehicle one was southbound, negotiating a curve, in lane one.  Vehicle two was",74,93,"H",1," 93H"
"12800",25,"also southbound, negotiating the same curve, in lane two.  V2 began to change",74,93,"H",2," 93H"
"12801",25,"lanes into lane one and the right of V2 impacted the left of V1.  V1 departed",74,93,"H",3," 93H"
"12802",25,"the roadway impacting a metal light pole with it's front, a chain link fence",74,93,"H",4," 93H"
"12803",25,"with it's left plane, and a clump of small trees with it's left plane.",74,93,"H",5," 93H"
"12804",25,"Vehicle one was west bound, vehicle two was eastbound, intending to turn left,",74,94,"K",1," 94K"
"12805",25,"both approaching an intersection. The front of V1 impacted the right of V2",74,94,"K",2," 94K"
"12806",25,"within the intersection.",74,94,"K",3," 94K"
"12807",25,"Vehicle one and vehicle two were westbound.  V2 was forward of V1.  The front of",74,95,"H",1," 95H"
"12808",25,"V1 impacted the back of V2.",74,95,"H",2," 95H"
"12809",25,"V1 was westbound, approaching an intersection.  V2 was southbound, approaching",74,96,"B",1," 96B"
"12810",25,"the same intersection.  V3 was southbound behind V2.  V1 traveled off the right",74,96,"B",2," 96B"
"12811",25,"side of the roadway and the front struck a bus shelter and the pedestrian",74,96,"B",3," 96B"
"12812",25,"inside.  As V1 continued traveling to the NW, the front struck a tree.  V1 then",74,96,"B",4," 96B"
"12813",25,"entered the north/south roadway and the front struck the left side of V2 and the",74,96,"B",5," 96B"
"12814",25,"front of V3.  V1 traveled off the roadway and struck a curb.",74,96,"B",6," 96B"
"12815",25,"Vehicle #1 was traveling south, and Vehicle #2 was stopped facing south ahead of",75,95,"F",1," 95F"
"12816",25,"V1. Vehicle #3 was stopped facing south, ahead of, and in an adjacent lane to",75,95,"F",2," 95F"
"12817",25,"the right of V2.    The front of V1 contacted the back of V2, then the right",75,95,"F",3," 95F"
"12818",25,"side of V2 contacted the left side of V3.",75,95,"F",4," 95F"
"12819",25,"V1 was stopped in the westbound lanes waiting to make a left turn into a",75,96,"H",1," 96H"
"12820",25,"driveway.  V1 was westbound going straight.  V1 turned left.  The front of V2",75,96,"H",2," 96H"
"12821",25,"struck the right side of V1.",75,96,"H",3," 96H"
"12822",25,"Vehicle #1 was northbound approaching an intersection and Vehicle #2 was",75,97,"F",1," 97F"
"12823",25,"southbound approaching the same intersection.  V1 turned left at the",75,97,"F",2," 97F"
"12824",25,"intersection.  V2 went straight.  The front of V1 contacted the front of V1.",75,97,"F",3," 97F"
"12825",25,"V1, V2, and V3 were westbound.  The front of V1 struck the back of V2 pushing it",75,98,"G",1," 98G"
