"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"3074",1,NA,0,153,"154K",154,46,0,0,1,9,20,34,77,52,152,12,NA,152,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,10,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"R","","K","E","","W","",2,320,25
"3075",2,3,0,155,"156F",156,96,1,23,16,11,9,7,7,-32,160,12,12,160,1,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,68,68,0,0,78,816.264,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","F","E","A","W","W",1,289,25
"3076",2,NA,0,NA,"157B",157,124,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,4,NA,NA,NA,NA,0,0,0,1,NA,"T","",NA,NA,NA,NA,1,NA,1,NA,NA,31,NA,998,NA,78,62.228,NA,NA,NA,NA,NA,NA,NA,NA,"D","","B","D","","O","",2,259,25
"3077",1,NA,0,147,"159D",159,199,0,9,25,28,26,19,6,77,206,1,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,40,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,258,25
"3078",1,NA,0,173,"159D",159,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,170,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,310,NA,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",2,363,25
"3079",1,NA,0,165,"160E",160,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,300,NA,78,234.025,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,308,25
"3080",1,NA,0,157,"160E",160,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,78,234.025,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",2,274,25
"3081",1,2,0,152,"161A",161,178,1,0,16,32,28,14,0,64,256,11,12,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,68,320,0,78,62.228,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","A","E","E","W","9",1,264,25
"3082",1,3,0,146,"161A",161,119,0,19,21,28,27,22,11,0,144,82,3,144,3,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,50,100,78,62.228,15,15,10,5,1,0,-153,144,"D","B","A","E","E","W","W",2,246,25
"3083",1,2,0,170,"162E",162,50,1,24,16,18,22,16,45,65,180,1,3,180,2,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,30,90,78,248.652,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Z","E","E","E","W","W",1,352,25
