"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1888",1,NA,0,151,"105G",105,250,0,0,0,13,15,4,0,37,310,1,NA,998,2,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,40,NA,12,863.654,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","A","","W","",1,1,263,20
"1889",1,NA,0,154,"105G",105,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,152,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,12,863.654,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",0,2,287,20
"1890",1,3,0,140,"106D",106,145,0,12,16,15,17,21,23,0,149,71,0,149,1,2,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,31,340,998,12,81.399,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","D","E","A","W","O",1,1,272,20
"1891",1,2,0,140,"106D",106,190,0,6,20,43,41,29,8,-16,202,62,0,998,3,3,NA,NA,0,0,1,NA,"R","T",NA,NA,NA,NA,1,NA,1,NA,NA,1,31,70,998,12,81.399,NA,NA,NA,NA,NA,NA,NA,NA,"P","D","D","E","D","W","O",1,2,272,20
"1892",1,NA,0,150,"107F",107,27,0,0,0,1,15,12,27,15,335,1,NA,998,2,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,12,631.754,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","A","","W","",1,1,251,20
"1893",1,2,1,170,"107F",107,186,0,18,25,38,35,32,29,0,186,71,NA,186,4,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,330,NA,12,631.754,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","F","E","9","W","9",1,2,394,20
"1894",2,NA,1,170,"107F",107,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,12,631.754,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",0,3,343,20
"1895",1,2,0,154,"108E",108,166,0,0,9,18,22,14,1,-26,222,2,9,998,2,1,NA,NA,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,3,50,280,12,72.946,0,0,3,1,0,0,-54,204,"P","Z","E","E","E","W","W",1,1,285,20
"1896",1,NA,0,158,"108E",108,127,0,2,0,0,2,7,13,12,152,12,NA,152,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,12,72.946,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,2,276,20
"1897",1,NA,0,153,"109E",109,46,0,0,0,0,1,4,24,39,156,11,NA,156,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,340,NA,12,72.946,NA,NA,NA,NA,NA,NA,NA,NA,"R","","E","E","","W","",1,1,285,20
"1898",1,NA,0,171,"109E",109,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,12,72.946,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",0,2,338,20
